0 646.71 
1 744.506 
2 848.11 
3 957.224 
4 1071.79 
5 1192.02 
6 1318.42 
7 1451.77 
8 1593.07 
9 1743.44 
10 1904.09 
11 2076.15 
12 2260.62 
13 2458.27 
14 2669.53 
15 2894.43 
16 3132.55 
17 3382.94 
18 3644.08 
19 3913.91 
20 4189.8 
21 4468.55 
22 4746.5 
23 5019.53 
24 5283.22 
25 5532.93 
26 5763.94 
27 5971.66 
28 6151.74 
29 6300.3 
30 6414.08 
31 6490.6 
32 6528.3 
33 6526.64 
34 6486.12 
35 6408.28 
36 6295.61 
37 6151.4 
38 5979.61 
39 5784.6 
40 5570.92 
41 5343.08 
42 5105.38 
43 4861.66 
44 4615.24 
45 4368.81 
46 4124.37 
47 3883.29 
48 3646.3 
49 3413.66 
50 3185.22 
51 2960.59 
52 2739.32 
53 2521.03 
54 2305.59 
55 2093.21 
56 1884.53 
57 1680.61 
58 1482.95 
59 1293.3 
