0 715.071 
1 816.6 
2 922.079 
3 1030.83 
4 1142.46 
5 1256.96 
6 1374.66 
7 1496.27 
8 1622.8 
9 1755.47 
10 1895.62 
11 2044.6 
12 2203.67 
13 2373.86 
14 2555.91 
15 2750.18 
16 2956.56 
17 3174.48 
18 3402.79 
19 3639.81 
20 3883.3 
21 4130.49 
22 4378.14 
23 4622.56 
24 4859.73 
25 5085.42 
26 5295.29 
27 5485.09 
28 5650.74 
29 5788.59 
30 5895.52 
31 5969.1 
32 6007.77 
33 6010.84 
34 5978.63 
35 5912.38 
36 5814.21 
37 5687.04 
38 5534.35 
39 5360.03 
40 5168.2 
41 4962.93 
42 4748.1 
43 4527.22 
44 4303.31 
45 4078.83 
46 3855.6 
47 3634.89 
48 3417.37 
49 3203.27 
50 2992.46 
51 2784.6 
52 2579.27 
53 2376.17 
54 2175.18 
55 1976.57 
56 1780.97 
57 1589.46 
58 1403.48 
59 1224.76 
