0.010000 0.574917 1460.063201 0 1.673224 160.214770 0
0.030000 2.881254 8676.777340 0 10.159211 988.854672 0
0.050000 6.681118 19012.772322 0 25.671402 2149.355993 0
0.070000 10.529243 20794.861915 0 44.811933 3575.402355 0
0.090000 14.972199 17692.520291 0 73.441608 5005.436698 0
0.110000 19.954987 14383.286826 0 103.612949 6455.211644 0
0.130000 24.938114 12505.532266 0 138.730421 7911.650661 0
0.150000 32.163962 11490.573550 0 173.876425 10086.498964 0
0.170000 33.550251 11382.435621 0 216.646245 13630.608985 0
0.190000 38.500858 11045.423176 0 247.899789 17382.445586 0
0.210000 43.208341 10693.498476 0 289.032448 19129.393113 0
0.230000 47.912485 10915.462989 0 335.514072 20624.056575 0
0.250000 53.429200 10853.134139 0 378.134837 22969.904760 0
0.270000 56.596196 10629.037636 0 409.879456 25019.132819 0
0.290000 61.580361 11053.546687 0 446.633128 27435.221204 0
0.310000 67.436051 11241.007688 0 483.728104 29327.059609 0
0.330000 69.963755 11434.219459 0 519.690117 32350.667699 0
0.350000 75.389075 11728.482031 0 551.477441 35021.011109 0
0.370000 80.268255 12130.049657 0 579.202688 37955.604917 0
0.390000 84.296187 12362.143819 0 611.588718 41062.918585 0
0.410000 86.909212 12333.254869 0 640.543582 44269.680739 0
0.430000 89.850108 12237.692313 0 679.979311 47755.461536 0
0.450000 94.699839 12741.929370 0 694.850165 50708.676987 0
0.470000 96.698383 12535.205318 0 717.245452 54846.337887 0
0.490000 99.726595 13173.284828 0 736.582727 58667.569183 0
0.510000 103.284222 13068.115082 0 765.352628 62089.574365 0
0.530000 106.674628 13170.033757 0 793.722680 64920.437353 0
0.550000 111.248649 12666.930803 0 805.619367 69728.435912 0
0.570000 112.478290 13307.003385 0 832.697551 73217.921122 0
0.590000 114.143533 13588.313030 0 847.823304 78787.401594 0
0.610000 115.717696 13295.829955 0 858.665463 82319.766346 0
0.630000 117.402546 13932.701615 0 872.345802 87434.931511 0
0.650000 120.655685 13548.527980 0 900.154284 92779.840322 0
0.670000 124.295328 12830.080688 0 913.750757 97964.430187 0
0.690000 122.248905 12691.232070 0 931.741642 102217.792730 0
0.710000 124.897533 12220.594713 0 932.507742 107927.938337 0
0.730000 125.797128 12403.797382 0 943.471775 110643.389763 0
0.750000 126.580775 11903.572583 0 962.303539 115838.797750 0
0.770000 125.897167 10941.302613 0 965.788347 121081.573695 0
0.790000 128.730323 11042.714130 0 963.051079 125708.797748 0
0.810000 129.042847 10678.392234 0 968.893556 130987.846154 0
0.830000 127.071724 9765.957712 0 980.977354 136785.083661 0
0.850000 129.381005 9382.113535 0 985.794102 140456.525983 0
0.870000 127.145562 9870.820750 0 985.357942 145575.836189 0
0.890000 131.958734 9642.839556 0 994.333338 151508.064703 0
0.910000 130.487632 9345.025829 0 986.081832 154247.531640 0
0.930000 129.729899 9123.453871 0 973.210030 162029.501530 0
0.950000 126.131187 9167.407314 0 995.260319 165948.553275 0
0.970000 130.044896 8768.521672 0 987.971138 172416.528538 0
0.990000 131.765089 8731.831475 0 980.353314 180927.144991 0
1.010000 130.961526 8809.701602 0 1001.601507 186651.717334 0
1.030000 129.649774 8101.053590 0 1002.190558 194224.899317 0
1.050000 130.213643 8264.417175 0 986.047196 202276.709894 0
1.070000 132.473221 8034.172048 0 983.356883 210388.373996 0
1.090000 128.739634 7593.923957 0 959.190406 219652.199305 0
1.110000 126.317218 7412.624856 0 981.319390 225765.684070 0
1.130000 127.718949 6681.921079 0 966.770913 232683.373287 0
1.150000 125.974348 7092.510837 0 947.112034 239381.426110 0
1.170000 123.960869 6879.291031 0 956.027052 245376.048957 0
1.190000 126.868151 6288.027477 0 960.910719 250209.398590 0
1.210000 127.524246 6821.270668 0 916.636159 251084.179874 0
1.230000 126.948590 6378.164272 0 923.559786 251465.264088 0
1.250000 125.018925 5970.253109 0 925.659877 250000.139917 0
1.270000 122.814408 6130.927309 0 908.536727 242753.386356 0
1.290000 125.198292 5670.790750 0 913.645592 239938.292134 0
1.310000 124.012590 5700.872714 0 890.320306 232820.721808 0
1.330000 123.045383 5697.982467 0 890.965568 220701.379165 0
1.350000 122.256865 4874.214910 0 878.428307 212624.681819 0
1.370000 120.155049 5042.685165 0 869.034974 201833.471155 0
1.390000 122.798824 5182.932891 0 852.538138 191010.336354 0
1.410000 120.873371 4832.536868 0 829.644776 181128.594832 0
1.430000 119.573372 4722.517138 0 840.263190 169322.350663 0
1.450000 118.049315 4465.143122 0 821.859659 158073.550359 0
1.470000 116.218459 4827.237370 0 805.677533 149497.924586 0
1.490000 118.546087 4114.559182 0 802.877669 141615.933504 0
1.510000 121.307002 4116.790903 0 789.643315 131672.483642 0
1.530000 117.367647 4395.389297 0 774.521951 123437.012228 0
1.550000 117.524740 4345.801319 0 752.057217 116337.723157 0
1.570000 112.615731 4516.468076 0 756.799862 111403.856311 0
1.590000 114.634152 4016.880112 0 733.824398 102896.631542 0
1.610000 113.802200 3878.553805 0 710.000971 99877.617746 0
1.630000 111.630663 4038.243796 0 708.587474 92939.230223 0
1.650000 113.691556 3701.773033 0 697.793754 87999.924691 0
1.670000 112.515250 3456.911928 0 685.376985 82660.572450 0
1.690000 111.128792 3361.711349 0 675.854624 77703.037168 0
1.710000 110.914781 3723.518852 0 658.292502 71799.915764 0
1.730000 114.269954 3232.771664 0 653.364095 67925.551631 0
1.750000 107.229164 3370.969858 0 632.201134 61533.748869 0
1.770000 108.883194 3244.806368 0 617.127102 57791.217223 0
1.790000 108.305730 3446.353192 0 613.842598 53846.509553 0
